Symbol,Capt,Tdate,Ttime,PerfDay,Volume,VolumeAvg3m
RTN,41040000000,7/20/2016,4:02 PM,0.15%,1807058,1976190
O,17530000000,7/20/2016,4:02 PM,-0.70%,1025095,1961490
RHT,13310000000,7/20/2016,4:02 PM,1.60%,975625,1415860
REGN,40120000000,7/20/2016,4:00 PM,2.00%,628298,904556
RF,11300000000,7/20/2016,4:01 PM,0.45%,24160594,20226600
RSG,18010000000,7/20/2016,4:02 PM,0.11%,717822,1359250
RAI,74740000000,7/20/2016,4:01 PM,-0.40%,2266643,3938530
RHI,5210000000,7/20/2016,4:02 PM,1.87%,719338,1390230
ROK,15570000000,7/20/2016,4:02 PM,0.43%,309262,826165
COL,11310000000,7/20/2016,4:02 PM,0.64%,487890,791278
ROP,17580000000,7/20/2016,4:02 PM,1.47%,670069,586084
ROST,23700000000,7/20/2016,4:00 PM,0.19%,1742896,2935180
RCL,15480000000,7/20/2016,4:02 PM,2.60%,1582862,2322060
R,3640000000,7/20/2016,4:01 PM,0.71%,483439,762159
SPGI,30990000000,7/20/2016,4:02 PM,0.45%,851258,1122300
CRM,55650000000,7/20/2016,4:02 PM,0.95%,4045021,3727160
SCG,10510000000,7/20/2016,4:03 PM,-0.26%,819438,931889
SLB,1.01E+11,7/20/2016,4:01 PM,0.99%,5925372,6390610
SNI,8590000000,7/20/2016,4:00 PM,1.12%,708410,1056220
STX,9100000000,7/20/2016,4:00 PM,1.70%,3744787,7584890
SEE,9740000000,7/20/2016,4:02 PM,0.92%,1245575,1950940
SRE,27970000000,7/20/2016,4:02 PM,-0.28%,1318885,1248780
SHW,28550000000,7/20/2016,4:02 PM,1.00%,953845,673695
SIG,6990000000,7/20/2016,4:01 PM,-0.93%,1695404,1995080
SPG,69070000000,7/20/2016,4:02 PM,0.09%,646769,1415590
SWKS,13220000000,7/20/2016,4:00 PM,1.70%,3170699,2791660
SLG,11120000000,7/20/2016,4:02 PM,0.02%,732045,732354
SJM,17740000000,7/20/2016,4:02 PM,-0.29%,560710,925070
SNA,9400000000,7/20/2016,4:00 PM,0.97%,552316,482829
SO,48970000000,7/20/2016,4:00 PM,-0.54%,3862313,5599460
LUV,26840000000,7/20/2016,4:01 PM,-1.62%,8202089,6582420
SWN,5110000000,7/20/2016,4:01 PM,-0.75%,14998104,16999100
SE,25250000000,7/20/2016,4:02 PM,0.14%,2136803,4192000
STJ,23090000000,7/20/2016,4:02 PM,1.28%,1708683,4136230
SWK,17560000000,7/20/2016,4:02 PM,0.34%,686532,989921
SPLS,5860000000,7/20/2016,4:00 PM,0.33%,5909316,9485210
SBUX,84290000000,7/20/2016,4:00 PM,1.37%,9370056,8955470
HOT,13000000000,7/20/2016,4:02 PM,-0.74%,651338,2481560
STT,22870000000,7/20/2016,4:02 PM,0.54%,1736725,2764230
SRCL,9040000000,7/20/2016,4:00 PM,0.14%,635462,1324980
SYK,45760000000,7/20/2016,4:02 PM,0.49%,1285381,1374760
STI,21870000000,7/20/2016,4:02 PM,0.00%,2104261,4098340
SYMC,12670000000,7/20/2016,4:00 PM,0.05%,17544126,10271600
SYF,23470000000,7/20/2016,4:01 PM,-0.39%,8935501,9249970
SYY,29200000000,7/20/2016,4:01 PM,-0.65%,2333907,3879410
TROW,18380000000,7/20/2016,4:00 PM,-0.01%,1226063,1408230
TGT,43890000000,7/20/2016,4:03 PM,0.72%,2778936,6445470
TEL,22130000000,7/20/2016,4:02 PM,3.83%,2449031,1744020
TGNA,5340000000,7/20/2016,4:02 PM,0.70%,568315,1729330
TDC,3680000000,7/20/2016,4:02 PM,3.93%,1793824,2236120
TSO,9310000000,7/20/2016,4:02 PM,1.08%,1353088,1987230
TXN,65730000000,7/20/2016,4:00 PM,0.79%,4670965,5223030
TXT,10560000000,7/20/2016,4:02 PM,1.45%,1130633,1778690
BK,43090000000,7/20/2016,4:01 PM,0.76%,4804155,5541180
CLX,17510000000,7/20/2016,4:00 PM,-0.73%,544441,1042910
KO,1.97E+11,7/20/2016,4:00 PM,-0.26%,8244997,12318900
HSY,23280000000,7/20/2016,4:02 PM,-0.20%,876383,1882360
MOS,10150000000,7/20/2016,4:00 PM,1.15%,5819150,5579040
TRV,34210000000,7/20/2016,4:01 PM,-0.03%,1658771,1528620
DIS,1.59E+11,7/20/2016,4:00 PM,-1.26%,10563298,7279520
TMO,62050000000,7/20/2016,4:02 PM,0.67%,662100,1451490
TIF,7860000000,7/20/2016,4:02 PM,1.65%,1453154,2166240
TWX,61230000000,7/20/2016,4:02 PM,-0.28%,2284280,3920680
TJX,52670000000,7/20/2016,4:01 PM,0.40%,2435219,3294000
TMK,7520000000,7/20/2016,4:02 PM,-0.10%,330762,636076
TSS,10210000000,7/20/2016,4:02 PM,1.02%,824312,1276500
TSCO,12430000000,7/20/2016,4:00 PM,0.16%,1147088,1018700
TDG,14520000000,7/20/2016,4:02 PM,-0.06%,298197,778383
RIG,4440000000,7/20/2016,4:02 PM,0.50%,12293384,15740500
TRIP,10100000000,7/20/2016,4:00 PM,1.08%,1222724,2018410
FOXA,51140000000,7/20/2016,4:00 PM,-2.70%,22658341,8883250
FOX,52660000000,7/20/2016,4:00 PM,-2.28%,5057687,2593970
TYC,18390000000,7/20/2016,4:00 PM,0.52%,3416437,3270150
TSN,27470000000,7/20/2016,4:00 PM,-0.58%,2766613,3581170
USB,72150000000,7/20/2016,4:00 PM,0.00%,4913227,7629930
UDR,9840000000,7/20/2016,4:02 PM,0.11%,829845,1868110
ULTA,15980000000,7/20/2016,4:00 PM,-0.43%,480281,839468
UA,36850000000,7/20/2016,4:02 PM,0.57%,3544741,6360460
UNP,79160000000,7/20/2016,4:02 PM,0.18%,4238914,4631970
UAL,16270000000,7/20/2016,4:01 PM,0.94%,8410441,6412480
UNH,1.36E+11,7/20/2016,4:03 PM,0.30%,5442180,3296500
UPS,97610000000,7/20/2016,4:01 PM,-0.05%,1326957,2589550
URI,6180000000,7/20/2016,4:04 PM,2.84%,2599940,1946960
UTX,88740000000,7/20/2016,4:01 PM,0.40%,2979594,3832160
UHS,13200000000,7/20/2016,4:02 PM,0.09%,628947,695471
UNM,7680000000,7/20/2016,4:02 PM,0.44%,1407131,1939280
URBN,3480000000,7/20/2016,4:00 PM,1.68%,1187215,2255440
VFC,26780000000,7/20/2016,4:00 PM,0.66%,1924730,2478470
VLO,23860000000,7/20/2016,4:04 PM,-0.14%,4467519,6160030
VAR,8290000000,7/20/2016,4:02 PM,0.82%,463332,709813
VTR,24710000000,7/20/2016,4:03 PM,0.04%,1077678,2219720
VRSN,9150000000,7/20/2016,4:00 PM,1.46%,1300489,749076
VRSK,14360000000,7/20/2016,4:00 PM,-0.16%,390260,635273
VZ,2.27E+11,7/20/2016,4:00 PM,-0.14%,11870814,13624200
VRTX,22550000000,7/20/2016,4:00 PM,4.25%,1298015,1668590
VIAB,17720000000,7/20/2016,4:00 PM,0.22%,1488594,4348940
V,1.89E+11,7/20/2016,4:04 PM,0.81%,7871856,8977770
VNO,19070000000,7/20/2016,4:02 PM,-0.44%,1088215,930671
VMC,16710000000,7/20/2016,4:00 PM,0.71%,647653,907846
WMT,2.30E+11,7/20/2016,4:00 PM,0.18%,4691972,9027780
WBA,89300000000,7/20/2016,4:00 PM,0.36%,4897675,4988890
WM,30110000000,7/20/2016,4:02 PM,0.22%,1114421,2212380
WAT,12190000000,7/20/2016,4:02 PM,1.20%,295154,459076
WFC,2.45E+11,7/20/2016,4:02 PM,0.50%,16384562,18949300
HCN,27710000000,7/20/2016,4:02 PM,0.06%,1052273,2396280
WDC,12090000000,7/20/2016,4:00 PM,1.31%,4071947,6522690
WU,9910000000,7/20/2016,4:00 PM,0.40%,2319206,3472750
WRK,10890000000,7/20/2016,4:00 PM,1.54%,1593932,1803180
WY,24130000000,7/20/2016,4:04 PM,1.00%,3077093,5408500
WHR,13950000000,7/20/2016,4:03 PM,2.41%,1545300,894144
WFM,10610000000,7/20/2016,4:00 PM,0.79%,2928240,6119220
WMB,18860000000,7/20/2016,4:00 PM,0.56%,12259739,11605300
WLTW,17170000000,7/20/2016,4:00 PM,-0.14%,498244,768432
WEC,20210000000,7/20/2016,4:01 PM,-0.23%,1074201,2069910
WYN,8440000000,7/20/2016,4:02 PM,-0.16%,1202713,1309290
WYNN,9550000000,7/20/2016,4:00 PM,-1.04%,2051422,2691870
XEL,22150000000,7/20/2016,4:02 PM,-0.41%,2526499,3352330
XRX,9940000000,7/20/2016,4:00 PM,2.51%,5115843,6796590
XLNX,12200000000,7/20/2016,4:00 PM,0.21%,1697464,2817930
XL,9330000000,7/20/2016,4:03 PM,1.02%,1869040,2812040
XYL,8440000000,7/20/2016,4:02 PM,0.04%,640872,1280070
YHOO,36920000000,7/20/2016,4:00 PM,1.91%,8129649,12376300
YUM,35060000000,7/20/2016,4:00 PM,0.35%,1451740,3185040
ZBH,25200000000,7/20/2016,4:02 PM,1.58%,841906,1596760
ZION,5310000000,7/20/2016,4:00 PM,0.35%,2118338,3408950
ZTS,24930000000,7/20/2016,4:02 PM,1.78%,2525329,3357720
